"VDC";"r Vo.V";"i Vo.V"
0.399;0.239405;0
0.3995;0.239857;0
0.4;0.240308;0
0.4005;0.24076;0
0.401;0.241211;0
0.4015;0.241663;0
0.402;0.242115;0
0.4025;0.242567;0
0.403;0.243019;0
0.4035;0.243471;0
0.404;0.243923;0
0.4045;0.244375;0
0.405;0.244828;0
0.4055;0.24528;0
0.406;0.245732;0
0.4065;0.246185;0
0.407;0.246637;0
0.4075;0.24709;0
0.408;0.247543;0
0.4085;0.247996;0
0.409;0.248449;0
0.4095;0.248902;0
0.41;0.249355;0
0.4105;0.249808;0
0.411;0.250261;0
0.4115;0.250714;0
0.412;0.251168;0
0.4125;0.251621;0
0.413;0.252075;0
0.4135;0.252528;0
0.414;0.252982;0
0.4145;0.253436;0
0.415;0.25389;0
0.4155;0.254344;0
0.416;0.254798;0
0.4165;0.255252;0
0.417;0.255706;0
0.4175;0.25616;0
0.418;0.256614;0
0.4185;0.257069;0
0.419;0.257523;0
0.4195;0.257978;0
0.42;0.258432;0
0.4205;0.258887;0
0.421;0.259342;0
0.4215;0.259796;0
0.422;0.260251;0
0.4225;0.260706;0
0.423;0.261161;0
0.4235;0.261616;0
0.424;0.262071;0
0.4245;0.262527;0
0.425;0.262982;0
0.4255;0.263437;0
0.426;0.263893;0
0.4265;0.264348;0
0.427;0.264804;0
0.4275;0.265259;0
0.428;0.265715;0
0.4285;0.266171;0
0.429;0.266627;0
0.4295;0.267083;0
0.43;0.267539;0
0.4305;0.267995;0
0.431;0.268451;0
0.4315;0.268907;0
0.432;0.269363;0
0.4325;0.26982;0
0.433;0.270276;0
0.4335;0.270732;0
0.434;0.271189;0
0.4345;0.271646;0
0.435;0.272102;0
0.4355;0.272559;0
0.436;0.273016;0
0.4365;0.273473;0
0.437;0.273929;0
0.4375;0.274386;0
0.438;0.274844;0
0.4385;0.275301;0
0.439;0.275758;0
0.4395;0.276215;0
0.44;0.276672;0
0.4405;0.27713;0
0.441;0.277587;0
0.4415;0.278045;0
0.442;0.278502;0
0.4425;0.27896;0
0.443;0.279418;0
0.4435;0.279875;0
0.444;0.280333;0
0.4445;0.280791;0
0.445;0.281249;0
0.4455;0.281707;0
0.446;0.282165;0
0.4465;0.282623;0
0.447;0.283081;0
0.4475;0.28354;0
0.448;0.283998;0
0.4485;0.284456;0
0.449;0.284915;0
0.4495;0.285373;0
0.45;0.285832;0
0.4505;0.286291;0
0.451;0.286749;0
0.4515;0.287208;0
0.452;0.287667;0
0.4525;0.288126;0
0.453;0.288585;0
0.4535;0.289044;0
0.454;0.289503;0
0.4545;0.289962;0
0.455;0.290421;0
0.4555;0.29088;0
0.456;0.291339;0
0.4565;0.291799;0
0.457;0.292258;0
0.4575;0.292718;0
0.458;0.293177;0
0.4585;0.293637;0
0.459;0.294096;0
0.4595;0.294556;0
0.46;0.295016;0
0.4605;0.295476;0
0.461;0.295935;0
0.4615;0.296395;0
0.462;0.296855;0
0.4625;0.297315;0
0.463;0.297775;0
0.4635;0.298236;0
0.464;0.298696;0
0.4645;0.299156;0
0.465;0.299616;0
0.4655;0.300077;0
0.466;0.300537;0
0.4665;0.300998;0
0.467;0.301458;0
0.4675;0.301919;0
0.468;0.302379;0
0.4685;0.30284;0
0.469;0.303301;0
0.4695;0.303762;0
0.47;0.304223;0
0.4705;0.304684;0
0.471;0.305144;0
0.4715;0.305606;0
0.472;0.306067;0
0.4725;0.306528;0
0.473;0.306989;0
0.4735;0.30745;0
0.474;0.307912;0
0.4745;0.308373;0
0.475;0.308834;0
0.4755;0.309296;0
0.476;0.309757;0
0.4765;0.310219;0
